"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2024","701.35","629.25","711.33","587.04","3.27M","11.62%"
"07/01/2024","628.35","674.89","697.49","617.00","80.92M","-6.89%"
"06/01/2024","674.88","645.22","689.88","626.44","54.27M","5.18%"
"05/01/2024","641.62","547.84","664.25","544.25","69.00M","16.52%"
"04/01/2024","550.64","608.00","639.00","542.01","94.01M","-9.33%"
"03/01/2024","607.33","599.81","634.39","592.00","60.15M","0.73%"
"02/01/2024","602.92","567.02","605.36","549.00","71.66M","6.88%"
"01/01/2024","564.11","483.18","579.64","461.86","145.92M","15.86%"
"12/01/2023","486.88","473.17","500.89","445.73","80.42M","2.72%"
"11/01/2023","473.97","414.77","482.70","414.18","71.75M","15.13%"
"10/01/2023","411.69","377.48","418.84","344.73","164.04M","9.03%"
"09/01/2023","377.60","437.73","453.45","371.10","100.32M","-12.93%"
"08/01/2023","433.68","437.37","445.25","398.15","107.35M","-1.21%"
"07/01/2023","438.97","439.76","485.00","411.88","168.82M","-0.35%"
"06/01/2023","440.49","397.41","448.65","393.08","147.28M","11.45%"
"05/01/2023","395.23","329.43","405.11","315.62","145.49M","19.79%"
"04/01/2023","329.93","341.83","349.80","316.10","127.99M","-4.50%"
"03/01/2023","345.48","321.55","345.84","285.33","157.59M","7.25%"
"02/01/2023","322.13","353.86","379.43","314.30","123.38M","-8.97%"
"01/01/2023","353.86","298.06","369.02","288.70","206.42M","20.00%"
"12/01/2022","294.88","303.99","332.72","273.41","193.08M","-3.49%"
"11/01/2022","305.53","296.17","312.71","252.09","185.68M","4.68%"
"10/01/2022","291.88","237.85","305.63","211.73","335.30M","23.97%"
"09/01/2022","235.44","220.72","250.49","214.69","233.92M","5.31%"
"08/01/2022","223.56","223.10","251.99","218.74","152.27M","-0.60%"
"07/01/2022","224.90","176.49","230.75","169.70","270.10M","28.61%"
"06/01/2022","174.87","198.70","207.38","164.28","192.60M","-11.43%"
"05/01/2022","197.44","191.71","204.38","162.71","251.62M","3.72%"
"04/01/2022","190.36","376.80","396.02","185.60","403.33M","-49.18%"
"03/01/2022","374.59","391.60","396.50","329.82","119.50M","-5.05%"
"02/01/2022","394.52","432.96","458.48","354.72","151.01M","-7.64%"
"01/01/2022","427.14","605.61","609.99","351.46","241.71M","-29.10%"
"12/01/2021","602.44","649.48","654.52","581.74","60.04M","-6.15%"
"11/01/2021","641.90","689.06","700.99","640.01","64.54M","-7.01%"
"10/01/2021","690.31","604.24","690.97","594.68","98.58M","13.10%"
"09/01/2021","610.34","569.00","619.00","568.08","82.34M","7.23%"
"08/01/2021","569.19","519.00","569.48","505.37","54.75M","9.97%"
"07/01/2021","517.57","525.72","557.54","504.66","77.23M","-2.01%"
"06/01/2021","528.21","504.01","536.13","482.14","78.56M","5.05%"
"05/01/2021","502.81","512.65","518.95","478.54","66.93M","-2.08%"
"04/01/2021","513.47","529.93","563.56","499.00","111.58M","-1.57%"
"03/01/2021","521.66","545.57","556.99","492.85","90.19M","-3.19%"
"02/01/2021","538.85","536.79","566.65","518.28","61.91M","1.21%"
"01/01/2021","532.39","539.00","593.29","485.67","140.03M","-1.54%"
"12/01/2020","540.73","492.34","545.50","491.29","77.58M","10.20%"
"11/01/2020","490.70","478.87","518.73","463.41","91.81M","3.14%"
"10/01/2020","475.74","506.03","572.49","472.21","154.32M","-4.86%"
"09/01/2020","500.03","532.60","557.39","458.60","118.82M","-5.58%"
"08/01/2020","529.56","490.86","549.04","466.55","116.27M","8.32%"
"07/01/2020","488.88","454.00","575.37","454.00","232.23M","7.44%"
"06/01/2020","455.04","418.83","474.01","404.25","117.29M","8.41%"
"05/01/2020","419.73","415.10","458.97","397.86","135.10M","-0.03%"
"04/01/2020","419.85","376.05","449.52","357.51","225.16M","11.81%"
"03/01/2020","375.50","373.11","393.52","290.25","202.01M","1.75%"
"02/01/2020","369.03","347.24","392.95","346.28","114.11M","6.94%"
"01/01/2020","345.09","326.10","359.85","321.20","169.80M","6.65%"
"12/01/2019","323.57","314.39","338.00","292.02","125.11M","2.83%"
"11/01/2019","314.66","288.70","316.82","281.14","113.77M","9.48%"
"10/01/2019","287.41","267.35","308.75","257.01","235.29M","7.39%"